episode,steps,X,Y,yaw,steer,throttle,action,reward,done,all_wheels_on_track,progress,closest_waypoint,track_len,tstamp,episode_status,pause_duration
140,11.0,3.7817941005814624,0.6492265070332819,-11.442233735073106,30.0,3.8905386110450446,[30.0 3.8905386110450446],446.63154099370274,False,True,4.0772615488325235,5,17.709159380834848,395.74,in_progress,0.0
140,12.0,3.907688502889047,0.62342483319216,-11.57916495809558,27.164924365988043,1.0,[27.164924365988043 1.0],488.81157663805436,False,True,4.788115766380543,6,17.709159380834848,395.825,in_progress,0.0
140,13.0,4.007933948075068,0.6198887192545933,-7.698120013506162,30.0,1.4499802654589211,[30.0 1.4499802654589211],549.9172476783644,False,True,5.354174450237752,6,17.709159380834848,395.892,in_progress,0.0
140,14.0,4.120466175918562,0.6235551344888345,-3.7341951157793853,28.962525768959615,1.673503139907574,[28.962525768959615 1.673503139907574],615.6976260277941,False,True,5.989625946287183,7,17.709159380834848,395.941,in_progress,0.0
140,15.0,4.232462367347125,0.6388739270792471,1.0181993868287964,6.990911426376812,2.3314720270970954,[6.990911426376812 2.3314720270970954],685.5223287680817,False,True,6.622076084971107,8,17.709159380834848,396.022,in_progress,0.0
140,16.0,4.351526090720019,0.6594752830094535,4.7578581899860195,0.46701239724926324,1.0,[0.46701239724926324 1.0],739.4444876543789,False,True,7.294444876543789,9,17.709159380834848,396.092,in_progress,0.0
140,17.0,4.481867351522637,0.6757289577705583,5.8532930104289225,-23.25067135388339,2.4411485527491017,[-23.25067135388339 2.4411485527491017],827.4603302478462,False,True,8.030488447203552,9,17.709159380834848,396.162,in_progress,0.0
140,18.0,4.577906819344601,0.6807619051625523,4.633166839621468,-22.603131835532814,1.3618917910977983,[-22.603131835532814 1.3618917910977983],870.9002721069251,False,True,8.572813541959471,10,17.709159380834848,396.223,in_progress,0.0
140,19.0,4.693229495448678,0.6740245123564828,1.1695836282255865,25.207268393943615,1.0,[25.207268393943615 1.0],932.4003073155661,False,True,9.22400307315566,11,17.709159380834848,396.293,in_progress,0.0
140,20.0,4.79116403600351,0.6613097491284609,-2.0780068757913046,30.0,3.3344413548452843,[30.0 3.3344413548452843],1011.0434916271666,False,True,9.776990780787138,12,17.709159380834848,396.366,in_progress,0.0
140,21.0,4.919985011895008,0.6676746057130486,0.21872163974205366,-30.0,2.330013245665171,[-30.0 2.330013245665171],1073.7431189570061,False,True,10.504429865003544,12,17.709159380834848,396.429,in_progress,0.0
140,22.0,5.010559754211158,0.6834335963691713,3.9180016607917043,5.409373522629473,2.8187551645196667,[5.409373522629473 2.8187551645196667],1129.779709252733,False,True,11.015921576075364,13,17.709159380834848,396.482,in_progress,0.0
140,23.0,5.1435921463815975,0.7005665340228869,5.7273674382655715,-30.0,4.0,[-30.0 4.0],1216.7162318159926,False,True,11.767162318159926,14,17.709159380834848,396.566,in_progress,0.0
140,24.0,5.284263110397905,0.717251032528641,6.241351473759387,-30.0,2.8521681059296875,[-30.0 2.8521681059296875],1284.6742988316894,False,True,12.561526177723925,15,17.709159380834848,396.625,in_progress,0.0
140,25.0,5.423213324482478,0.7127159484681307,2.2676916631319783,-3.917069485125701,3.960514725890377,[-3.917069485125701 3.960514725890377],1374.2217034731977,False,True,13.34616556214294,16,17.709159380834848,396.699,in_progress,0.0
140,26.0,5.572836170344203,0.6973161355557888,-2.0998260461082934,30.0,3.371411912516477,[30.0 3.371411912516477],1452.8232337524717,False,True,14.191091146273068,17,17.709159380834848,396.759,in_progress,0.0
140,27.0,5.752238259085972,0.6818222242443605,-4.239288433626367,-30.0,3.2599384142205263,[-30.0 3.2599384142205263],1553.002887356568,False,True,15.204035032143626,18,17.709159380834848,396.836,in_progress,0.0
140,28.0,5.940230288239079,0.6706353569002451,-3.935138832628831,-2.991861642204796,1.0,[-2.991861642204796 1.0],1636.6197456704472,False,True,16.26619745670447,19,17.709159380834848,396.894,in_progress,0.0
140,29.0,6.101907026748412,0.6443604813968947,-7.329846261014896,30.0,1.0,[30.0 1.0],1727.3007034179743,False,True,17.173007034179744,20,17.709159380834848,396.956,in_progress,0.0
